Fund Name,ISIN,SEBI Classification,ngenFS,NAV,AUM Cr.,TER,Net YTM,YTM,Av. Mat,Dur.,SOV %,AAA %,AA %,A %,Other %,Cash,PE,PB,No. of holdings,Equity %,Shorts,Net Eq %,Debt %,LargeCap %,MidCap %,SmallCap %,Top 3 Holdings,Top 5 Holdings,Top 10 Holdings,Top 20 Holdings,Sharpe,VaR (H),VaR (I),Sortino,St Dev,MTD,YTD,Inception,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,15Y,Age in Yrs,Unnamed: 60
ICICI Pru Bluechip Fund (G),INF109K01BL4,Large Cap Fund,7.89,104.36,64963,1.41,,,,,3.42,,,,96.58,4.98,20.54,3.32,78,91.26,,91.26,3.42,81.66,9.42,0.18,24.91,36.28,57.13,74.24,0.5,-26.01,-29.68,0.64,18.04,1.4,0.58,14.83,16.87,27.39,6.85,29.17,13.49,9.77,-0.81,32.75,7.74,-0.21,4.09,2.36,-2.48,9.71,23.42,16.46,24.49,14.56,13.33,14.22,16.92,
Nippon India Large Cap Fund (G),INF204K01562,Large Cap Fund,7.21,84.54,37546,1.58,,,,,,0.72,,,99.28,3.1,21.99,3.33,75,96.18,,96.18,0.72,83.19,9.1,3.89,21.49,30.24,46.32,64.69,0.38,-30.28,-33.01,0.47,20.07,1.29,-1.91,12.78,18.24,32.15,11.33,32.37,4.91,7.25,-0.2,38.42,2.23,1.11,3.38,0.3,-3.19,7.85,23.96,18.12,26.11,14.79,13.23,14.08,17.71,
DSP Top 100 Equity Fund (G),INF740K01243,Large Cap Fund,7.18,456.85,5070,1.9,,,,,,,,,100.0,12.06,16.96,2.86,36,87.86,,87.86,,76.88,7.29,3.69,30.98,41.5,63.41,88.27,0.65,-29.35,-32.19,0.8,19.57,1.97,1.61,18.8,20.5,26.61,1.44,19.53,7.49,14.85,-2.72,26.47,4.89,-2.33,4.19,3.17,-0.59,16.01,24.99,17.55,21.83,12.36,10.95,11.32,22.13,
HDFC Large Cap Fund - Regular (G),INF179K01BE2,Large Cap Fund,5.9,1094.97,36109,1.63,,,,,,,,,100.0,0.44,19.23,3.31,46,99.56,,99.56,,94.1,5.46,,26.18,37.31,59.3,81.48,0.57,-32.84,-35.68,0.72,21.69,1.58,0.15,17.84,11.64,30.02,10.61,28.54,5.91,7.7,0.13,31.97,8.52,-6.09,4.22,1.64,-3.37,7.03,20.86,15.68,23.81,13.71,12.07,12.6,28.54,
SBI BlueChip Fund (G),INF200K01180,Large Cap Fund,5.79,87.48,49394,1.5,,,,,0.74,,,,99.26,6.12,24.92,4.03,49,93.11,,93.11,0.74,82.96,7.68,2.47,23.98,34.89,53.27,78.76,0.35,-28.02,-30.95,0.43,18.82,1.1,-0.31,11.93,12.45,22.62,4.36,26.08,16.34,11.64,-4.11,30.23,4.83,7.99,3.8,1.06,-3.05,9.76,17.44,12.91,21.88,12.28,11.79,12.93,19.19,
Aditya Birla SL Frontline Equity Fund (G),INF209K01BR9,Large Cap Fund,5.32,498.34,28106,1.66,,,,,0.64,0.53,,,98.83,3.57,22.21,3.54,86,94.51,,94.51,1.17,82.92,4.39,7.2,21.79,31.38,47.44,66.8,0.67,-27.98,-31.27,0.82,19.01,2.02,-0.49,18.78,15.57,23.07,3.54,27.9,14.22,7.64,-2.91,30.58,7.43,1.65,4.38,1.56,-3.23,10.69,20.48,13.63,22.41,12.63,11.65,12.83,22.65,
Canara Robeco Bluechip Equity Fund (G),INF760K01AR3,Large Cap Fund,4.93,60.0,14965,1.67,,,,,,,,,100.0,3.87,24.19,3.95,61,96.13,,96.13,,91.79,3.96,0.38,22.31,30.46,46.51,68.73,0.47,-22.77,-24.56,0.58,14.93,1.78,-0.65,12.96,17.79,22.22,0.82,24.54,23.06,15.68,3.39,31.37,1.89,-0.47,3.82,1.87,-1.75,11.57,20.56,13.77,20.96,14.69,12.86,,14.67,
Kotak Bluechip Fund (G),INF174K01153,Large Cap Fund,4.73,537.38,9424,1.74,,,,,,,,,100.0,4.0,22.25,3.44,62,95.21,,95.21,,81.87,10.03,3.31,21.09,29.63,45.86,68.43,0.57,-25.82,-29.85,0.65,18.15,1.32,-1.79,16.29,16.25,22.9,1.99,27.74,16.37,14.2,-2.11,29.18,2.93,3.77,3.64,0.98,-3.76,9.79,19.42,13.29,22.18,13.4,11.96,12.24,26.32,
Edelweiss Large Cap Fund (G),INF754K01046,Large Cap Fund,4.47,79.79,1157,2.15,,,,,0.6,,,,99.4,4.39,22.45,3.94,72,95.01,,95.01,0.6,83.39,10.68,0.94,19.61,28.06,44.23,66.05,0.5,-23.95,-25.79,0.61,15.68,1.13,-1.72,13.89,14.63,25.72,3.38,23.39,17.29,11.52,1.69,33.8,0.4,0.77,3.79,0.29,-4.12,7.0,19.09,13.77,21.49,13.11,11.66,12.82,15.93,
Baroda BNP Paribas Large Cap Fund - Regular (G),INF251K01894,Large Cap Fund,4.24,208.74,2432,2.01,,,,,1.04,,,,98.96,6.04,22.53,3.72,55,92.92,,92.92,1.04,79.5,13.42,,22.42,32.18,48.33,67.41,0.53,-27.47,-31.26,0.65,19.0,0.91,-3.74,15.86,20.11,24.8,4.21,22.08,16.84,17.18,-3.97,37.05,-5.5,5.58,3.38,-1.47,-6.04,5.71,20.98,14.47,21.04,13.88,11.65,13.47,20.58,
Bandhan Large Cap Fund (G),INF194K01516,Large Cap Fund,4.16,72.22,1766,2.07,,,,,,,,,100.0,0.94,25.71,3.66,55,99.06,,99.06,,87.61,7.23,4.22,26.6,35.57,52.0,73.9,0.31,-25.94,-32.66,0.34,19.85,1.57,-2.72,11.02,18.7,26.77,-2.32,26.75,17.41,10.59,-4.23,34.16,5.28,-5.67,3.77,1.11,-4.15,9.49,21.66,13.6,21.4,12.86,11.14,11.09,18.87,
Invesco India Largecap Fund (G),INF205K01304,Large Cap Fund,4.07,64.75,1329,2.09,,,,,,,,,100.0,0.98,27.08,4.26,49,99.02,,99.02,,87.15,4.69,7.18,21.05,29.03,45.33,68.97,0.43,-23.45,-25.48,0.53,15.49,2.63,-3.66,12.58,20.0,27.79,-2.99,32.53,14.05,10.5,-0.44,28.34,2.77,4.57,5.08,-0.48,-4.72,9.21,23.18,14.06,22.12,12.91,11.79,12.18,15.65,
